timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764563058808,9,1. Get Flights,200,OK,100 Concurrent Users 1-13,text,true,,101994,189,1,1,http://localhost:5000/api/flights?limit=100,8,0,1
1764563058817,9,2. Get Hotels,200,OK,100 Concurrent Users 1-13,text,true,,97439,197,1,1,http://localhost:5000/api/hotels?limit=100,8,0,1
1764563058826,26,3. Get Cars,200,OK,100 Concurrent Users 1-13,text,true,,82327,195,1,1,http://localhost:5000/api/cars?limit=100,26,0,1
1764563058911,10,1. Get Flights,200,OK,100 Concurrent Users 1-14,text,true,,101994,189,1,1,http://localhost:5000/api/flights?limit=100,9,0,1
1764563058921,8,2. Get Hotels,200,OK,100 Concurrent Users 1-14,text,true,,97439,197,1,1,http://localhost:5000/api/hotels?limit=100,7,0,1
1764563058929,20,3. Get Cars,200,OK,100 Concurrent Users 1-14,text,true,,82327,195,1,1,http://localhost:5000/api/cars?limit=100,19,0,1
1764563059008,8,1. Get Flights,200,OK,100 Concurrent Users 1-15,text,true,,101994,189,1,1,http://localhost:5000/api/flights?limit=100,7,0,1
1764563059016,7,2. Get Hotels,200,OK,100 Concurrent Users 1-15,text,true,,97439,197,1,1,http://localhost:5000/api/hotels?limit=100,7,0,1
1764563059024,21,3. Get Cars,200,OK,100 Concurrent Users 1-15,text,true,,82327,195,1,1,http://localhost:5000/api/cars?limit=100,20,0,1
1764563059107,8,1. Get Flights,200,OK,100 Concurrent Users 1-16,text,true,,101994,189,1,1,http://localhost:5000/api/flights?limit=100,8,0,1
1764563059115,7,2. Get Hotels,200,OK,100 Concurrent Users 1-16,text,true,,97439,197,1,1,http://localhost:5000/api/hotels?limit=100,7,0,1
1764563059123,20,3. Get Cars,200,OK,100 Concurrent Users 1-16,text,true,,82327,195,1,1,http://localhost:5000/api/cars?limit=100,19,0,0
1764563059208,7,1. Get Flights,200,OK,100 Concurrent Users 1-17,text,true,,101994,189,1,1,http://localhost:5000/api/flights?limit=100,7,0,1
1764563059216,6,2. Get Hotels,200,OK,100 Concurrent Users 1-17,text,true,,97439,197,1,1,http://localhost:5000/api/hotels?limit=100,6,0,0
1764563059223,17,3. Get Cars,200,OK,100 Concurrent Users 1-17,text,true,,82327,195,1,1,http://localhost:5000/api/cars?limit=100,17,0,1
1764563059308,8,1. Get Flights,200,OK,100 Concurrent Users 1-18,text,true,,101994,189,1,1,http://localhost:5000/api/flights?limit=100,7,0,1
1764563059316,7,2. Get Hotels,200,OK,100 Concurrent Users 1-18,text,true,,97439,197,1,1,http://localhost:5000/api/hotels?limit=100,6,0,1
1764563059323,18,3. Get Cars,200,OK,100 Concurrent Users 1-18,text,true,,82327,195,1,1,http://localhost:5000/api/cars?limit=100,17,0,1
1764563059408,6,1. Get Flights,200,OK,100 Concurrent Users 1-19,text,true,,101994,189,1,1,http://localhost:5000/api/flights?limit=100,6,0,0
1764563059415,6,2. Get Hotels,200,OK,100 Concurrent Users 1-19,text,true,,97439,197,1,1,http://localhost:5000/api/hotels?limit=100,6,0,0
1764563059422,17,3. Get Cars,200,OK,100 Concurrent Users 1-19,text,true,,82327,195,1,1,http://localhost:5000/api/cars?limit=100,16,0,0
