timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764561349959,32,1. Get Flights,200,OK,100 Concurrent Users 1-13,text,true,,101995,189,1,1,http://localhost:5000/api/flights?limit=100,32,0,1
1764561349992,30,2. Get Hotels,200,OK,100 Concurrent Users 1-13,text,true,,97440,197,1,1,http://localhost:5000/api/hotels?limit=100,30,0,1
1764561350022,21,3. Get Cars,200,OK,100 Concurrent Users 1-13,text,true,,82328,195,1,1,http://localhost:5000/api/cars?limit=100,21,0,2
1764561350058,31,1. Get Flights,200,OK,100 Concurrent Users 1-14,text,true,,101995,189,1,1,http://localhost:5000/api/flights?limit=100,30,0,1
1764561350089,30,2. Get Hotels,200,OK,100 Concurrent Users 1-14,text,true,,97440,197,1,1,http://localhost:5000/api/hotels?limit=100,30,0,2
1764561350119,22,3. Get Cars,200,OK,100 Concurrent Users 1-14,text,true,,82328,195,1,1,http://localhost:5000/api/cars?limit=100,21,0,1
1764561350156,30,1. Get Flights,200,OK,100 Concurrent Users 1-15,text,true,,101995,189,1,1,http://localhost:5000/api/flights?limit=100,30,0,2
1764561350187,30,2. Get Hotels,200,OK,100 Concurrent Users 1-15,text,true,,97440,197,1,1,http://localhost:5000/api/hotels?limit=100,30,0,1
1764561350217,19,3. Get Cars,200,OK,100 Concurrent Users 1-15,text,true,,82328,195,1,1,http://localhost:5000/api/cars?limit=100,19,0,1
1764561350254,33,1. Get Flights,200,OK,100 Concurrent Users 1-16,text,true,,101995,189,1,1,http://localhost:5000/api/flights?limit=100,33,0,1
1764561350288,34,2. Get Hotels,200,OK,100 Concurrent Users 1-16,text,true,,97440,197,1,1,http://localhost:5000/api/hotels?limit=100,33,0,1
1764561350322,25,3. Get Cars,200,OK,100 Concurrent Users 1-16,text,true,,82328,195,1,1,http://localhost:5000/api/cars?limit=100,24,0,2
1764561350355,32,1. Get Flights,200,OK,100 Concurrent Users 1-17,text,true,,101995,189,1,1,http://localhost:5000/api/flights?limit=100,32,0,1
